       17	2017-06-19 11:37:09	1	0	1	0
       46	2017-06-19 11:37:12	1	0	1	0
       25	2017-06-19 11:37:40	1	0	1	0
       26	2017-06-19 11:37:44	1	0	1	0
       56	2017-06-19 11:37:48	1	0	1	0
       54	2017-06-19 11:37:52	1	0	1	0
       55	2017-06-19 11:38:00	1	0	1	0
       34	2017-06-19 11:38:12	1	0	1	0
       35	2017-06-19 11:38:16	1	0	1	0
       37	2017-06-19 11:38:21	1	0	1	0
       27	2017-06-19 11:38:26	1	0	1	0
       24	2017-06-19 11:38:30	1	0	1	0
       44	2017-06-19 11:38:33	1	0	1	0
       28	2017-06-19 11:38:38	1	0	1	0
       31	2017-06-19 11:38:42	1	0	1	0
       48	2017-06-19 11:38:45	1	0	1	0
       47	2017-06-19 11:38:55	1	0	1	0
       20	2017-06-19 11:38:59	1	0	1	0
       19	2017-06-19 11:39:03	1	0	1	0
       32	2017-06-19 11:39:08	1	0	1	0
       43	2017-06-19 11:39:13	1	0	1	0
        9	2017-06-19 11:39:18	1	0	1	0
       33	2017-06-19 11:39:26	1	0	1	0
       38	2017-06-19 11:39:30	1	0	1	0
       13	2017-06-19 11:39:33	1	0	1	0
       30	2017-06-19 11:39:38	1	0	1	0
       11	2017-06-19 11:39:41	1	0	1	0
       10	2017-06-19 11:39:47	1	0	1	0
        7	2017-06-19 11:39:50	1	0	1	0
       29	2017-06-19 11:39:55	1	0	1	0
        8	2017-06-19 11:40:01	1	0	1	0
       39	2017-06-19 11:40:05	1	0	1	0
       40	2017-06-19 11:40:11	1	0	1	0
        5	2017-06-19 11:40:15	1	0	1	0
        5	2017-06-19 11:40:18	1	0	1	0
       41	2017-06-19 11:40:21	1	0	1	0
        6	2017-06-19 11:40:26	1	0	1	0
       45	2017-06-19 11:40:30	1	0	1	0
       42	2017-06-19 11:40:34	1	0	1	0
       58	2017-06-19 11:40:39	1	0	1	0
       36	2017-06-19 11:40:53	1	0	1	0
        2	2017-06-19 11:41:08	1	0	1	0
       61	2017-06-19 11:41:12	1	0	1	0
